"COUNTRY","Country","Year","INDICATOR","Indicator","Unit.Code","Unit","PowerCode","Reference.Period","Value"
"AUS","Australia",2018,"INTEREST_RATE_SPREAD","Interest rate spread (% points)","PC","Percentage","Units",NA,1.61
"AUS","Australia",2019,"INTEREST_RATE_SPREAD","Interest rate spread (% points)","PC","Percentage","Units",NA,1.7
"AUS","Australia",2007,"VC","Growth capital and venture capital","AUD","Australian Dollar","Millions",NA,6939
"AUS","Australia",2008,"VC","Growth capital and venture capital","AUD","Australian Dollar","Millions",NA,8315
"AUS","Australia",2009,"VC","Growth capital and venture capital","AUD","Australian Dollar","Millions",NA,7903
"AUS","Australia",2010,"VC","Growth capital and venture capital","AUD","Australian Dollar","Millions",NA,8912
"AUS","Australia",2011,"VC","Growth capital and venture capital","AUD","Australian Dollar","Millions",NA,8700
"AUS","Australia",2012,"VC","Growth capital and venture capital","AUD","Australian Dollar","Millions",NA,7652
"AUS","Australia",2013,"VC","Growth capital and venture capital","AUD","Australian Dollar","Millions",NA,8348
"AUS","Australia",2014,"VC","Growth capital and venture capital","AUD","Australian Dollar","Millions",NA,7907
"AUS","Australia",2015,"VC","Growth capital and venture capital","AUD","Australian Dollar","Millions",NA,8802
"AUS","Australia",2016,"VC","Growth capital and venture capital","AUD","Australian Dollar","Millions",NA,9213
"AUS","Australia",2017,"VC","Growth capital and venture capital","AUD","Australian Dollar","Millions",NA,10575
"AUS","Australia",2018,"VC","Growth capital and venture capital","AUD","Australian Dollar","Millions",NA,11001
"AUS","Australia",2019,"VC","Growth capital and venture capital","AUD","Australian Dollar","Millions",NA,12162
"AUS","Australia",2008,"VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","PC","Percentage","Units",NA,19.83
"AUS","Australia",2009,"VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","PC","Percentage","Units",NA,-4.95
"AUS","Australia",2010,"VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","PC","Percentage","Units",NA,12.77
"AUS","Australia",2011,"VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","PC","Percentage","Units",NA,-2.38
"AUS","Australia",2012,"VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","PC","Percentage","Units",NA,-12.05
"AUS","Australia",2013,"VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","PC","Percentage","Units",NA,9.1
"AUS","Australia",2014,"VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","PC","Percentage","Units",NA,-5.28
"AUS","Australia",2015,"VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","PC","Percentage","Units",NA,11.32
"AUS","Australia",2016,"VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","PC","Percentage","Units",NA,4.67
"AUS","Australia",2017,"VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","PC","Percentage","Units",NA,14.78
"AUS","Australia",2018,"VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","PC","Percentage","Units",NA,4.03
"AUS","Australia",2019,"VC_GROWTH","Growth capital and venture capital (%, Year-on-year growth rate)","PC","Percentage","Units",NA,10.55
"AUS","Australia",2007,"LEASING","Leasing and hire purchases","AUD","Australian Dollar","Millions",NA,9245.2
"AUS","Australia",2008,"LEASING","Leasing and hire purchases","AUD","Australian Dollar","Millions",NA,9279.8
"AUS","Australia",2009,"LEASING","Leasing and hire purchases","AUD","Australian Dollar","Millions",NA,6731.8
"AUS","Australia",2010,"LEASING","Leasing and hire purchases","AUD","Australian Dollar","Millions",NA,6549.4
"AUS","Australia",2011,"LEASING","Leasing and hire purchases","AUD","Australian Dollar","Millions",NA,6899.8
"AUS","Australia",2012,"LEASING","Leasing and hire purchases","AUD","Australian Dollar","Millions",NA,8746.6
"AUS","Australia",2013,"LEASING","Leasing and hire purchases","AUD","Australian Dollar","Millions",NA,7336
"AUS","Australia",2014,"LEASING","Leasing and hire purchases","AUD","Australian Dollar","Millions",NA,8767.3
"AUS","Australia",2015,"LEASING","Leasing and hire purchases","AUD","Australian Dollar","Millions",NA,9861.5
"AUS","Australia",2016,"LEASING","Leasing and hire purchases","AUD","Australian Dollar","Millions",NA,8890.7
"AUS","Australia",2017,"LEASING","Leasing and hire purchases","AUD","Australian Dollar","Millions",NA,10140.8
"AUS","Australia",2018,"LEASING","Leasing and hire purchases","AUD","Australian Dollar","Millions",NA,9714.2
"AUS","Australia",2019,"LEASING","Leasing and hire purchases","AUD","Australian Dollar","Millions",NA,9977.9
"AUS","Australia",2007,"FACTORING","Factoring and invoicing","AUD","Australian Dollar","Millions",NA,54757
"AUS","Australia",2008,"FACTORING","Factoring and invoicing","AUD","Australian Dollar","Millions",NA,64991
"AUS","Australia",2009,"FACTORING","Factoring and invoicing","AUD","Australian Dollar","Millions",NA,63101
"AUS","Australia",2010,"FACTORING","Factoring and invoicing","AUD","Australian Dollar","Millions",NA,58661
"AUS","Australia",2011,"FACTORING","Factoring and invoicing","AUD","Australian Dollar","Millions",NA,61422
"AUS","Australia",2012,"FACTORING","Factoring and invoicing","AUD","Australian Dollar","Millions",NA,63361
"AUS","Australia",2013,"FACTORING","Factoring and invoicing","AUD","Australian Dollar","Millions",NA,63272
"AUS","Australia",2014,"FACTORING","Factoring and invoicing","AUD","Australian Dollar","Millions",NA,62391
"AUS","Australia",2015,"FACTORING","Factoring and invoicing","AUD","Australian Dollar","Millions",NA,64400
"AUS","Australia",2007,"SME_BANKRUPTCIES","Bankruptcies, SMEs",NA,NA,"Units",NA,45
"AUS","Australia",2008,"SME_BANKRUPTCIES","Bankruptcies, SMEs",NA,NA,"Units",NA,47
"AUS","Australia",2009,"SME_BANKRUPTCIES","Bankruptcies, SMEs",NA,NA,"Units",NA,47
"AUS","Australia",2010,"SME_BANKRUPTCIES","Bankruptcies, SMEs",NA,NA,"Units",NA,50
"AUS","Australia",2011,"SME_BANKRUPTCIES","Bankruptcies, SMEs",NA,NA,"Units",NA,51
"AUS","Australia",2012,"SME_BANKRUPTCIES","Bankruptcies, SMEs",NA,NA,"Units",NA,53
"AUS","Australia",2013,"SME_BANKRUPTCIES","Bankruptcies, SMEs",NA,NA,"Units",NA,49
"AUS","Australia",2014,"SME_BANKRUPTCIES","Bankruptcies, SMEs",NA,NA,"Units",NA,39
"AUS","Australia",2015,"SME_BANKRUPTCIES","Bankruptcies, SMEs",NA,NA,"Units",NA,41
"AUS","Australia",2016,"SME_BANKRUPTCIES","Bankruptcies, SMEs",NA,NA,"Units",NA,36
"AUS","Australia",2017,"SME_BANKRUPTCIES","Bankruptcies, SMEs",NA,NA,"Units",NA,32
"AUS","Australia",2008,"SME_BANKRUPTCIES_GROWTH","Bankruptcies, SMEs (%, Year-on-year growth rate)","PC","Percentage","Units",NA,4.44
"AUS","Australia",2009,"SME_BANKRUPTCIES_GROWTH","Bankruptcies, SMEs (%, Year-on-year growth rate)","PC","Percentage","Units",NA,0
"AUS","Australia",2010,"SME_BANKRUPTCIES_GROWTH","Bankruptcies, SMEs (%, Year-on-year growth rate)","PC","Percentage","Units",NA,6.38
"AUS","Australia",2011,"SME_BANKRUPTCIES_GROWTH","Bankruptcies, SMEs (%, Year-on-year growth rate)","PC","Percentage","Units",NA,2
"AUS","Australia",2012,"SME_BANKRUPTCIES_GROWTH","Bankruptcies, SMEs (%, Year-on-year growth rate)","PC","Percentage","Units",NA,3.92
"AUS","Australia",2013,"SME_BANKRUPTCIES_GROWTH","Bankruptcies, SMEs (%, Year-on-year growth rate)","PC","Percentage","Units",NA,-7.55
"AUS","Australia",2014,"SME_BANKRUPTCIES_GROWTH","Bankruptcies, SMEs (%, Year-on-year growth rate)","PC","Percentage","Units",NA,-20.41
"AUS","Australia",2015,"SME_BANKRUPTCIES_GROWTH","Bankruptcies, SMEs (%, Year-on-year growth rate)","PC","Percentage","Units",NA,5.13
"AUS","Australia",2016,"SME_BANKRUPTCIES_GROWTH","Bankruptcies, SMEs (%, Year-on-year growth rate)","PC","Percentage","Units",NA,-12.2
"AUS","Australia",2017,"SME_BANKRUPTCIES_GROWTH","Bankruptcies, SMEs (%, Year-on-year growth rate)","PC","Percentage","Units",NA,-11.11
"AUT","Austria",2007,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","EUR","Euro","Billions",NA,123.07
"AUT","Austria",2008,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","EUR","Euro","Billions",NA,134.9
"AUT","Austria",2009,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","EUR","Euro","Billions",NA,132.41
"AUT","Austria",2010,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","EUR","Euro","Billions",NA,135.47
"AUT","Austria",2011,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","EUR","Euro","Billions",NA,138.84
"AUT","Austria",2012,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","EUR","Euro","Billions",NA,140.38
"AUT","Austria",2013,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","EUR","Euro","Billions",NA,140.33
"AUT","Austria",2014,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","EUR","Euro","Billions",NA,136.61
"AUT","Austria",2015,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","EUR","Euro","Billions",NA,137.2
"AUT","Austria",2016,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","EUR","Euro","Billions",NA,135.6
"AUT","Austria",2017,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","EUR","Euro","Billions",NA,143.8
"AUT","Austria",2018,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","EUR","Euro","Billions",NA,153
"AUT","Austria",2019,"CORPORATE_LENDING_STOCK","Outstanding business loans, total ","EUR","Euro","Billions",NA,162.9
"AUT","Austria",2009,"CORPORATE_LENDING_FLOW","New business lending, total",NA,NA,"Millions",NA,85490
"AUT","Austria",2010,"CORPORATE_LENDING_FLOW","New business lending, total",NA,NA,"Millions",NA,74896
"AUT","Austria",2011,"CORPORATE_LENDING_FLOW","New business lending, total",NA,NA,"Millions",NA,73041
"AUT","Austria",2012,"CORPORATE_LENDING_FLOW","New business lending, total",NA,NA,"Millions",NA,80867
"AUT","Austria",2013,"CORPORATE_LENDING_FLOW","New business lending, total",NA,NA,"Millions",NA,73460
"AUT","Austria",2014,"CORPORATE_LENDING_FLOW","New business lending, total",NA,NA,"Millions",NA,73126
"AUT","Austria",2015,"CORPORATE_LENDING_FLOW","New business lending, total",NA,NA,"Millions",NA,61711
"AUT","Austria",2016,"CORPORATE_LENDING_FLOW","New business lending, total",NA,NA,"Millions",NA,55543
"AUT","Austria",2017,"CORPORATE_LENDING_FLOW","New business lending, total",NA,NA,"Millions",NA,64418
"AUT","Austria",2018,"CORPORATE_LENDING_FLOW","New business lending, total",NA,NA,"Millions",NA,64438
"AUT","Austria",2019,"CORPORATE_LENDING_FLOW","New business lending, total",NA,NA,"Millions",NA,71311
"AUT","Austria",2009,"SME_LENDING_FLOW","New business lending, SMEs","EUR","Euro","Millions",NA,10054
"AUT","Austria",2010,"SME_LENDING_FLOW","New business lending, SMEs","EUR","Euro","Millions",NA,9414
"AUT","Austria",2011,"SME_LENDING_FLOW","New business lending, SMEs","EUR","Euro","Millions",NA,9476
"AUT","Austria",2012,"SME_LENDING_FLOW","New business lending, SMEs","EUR","Euro","Millions",NA,9347
"AUT","Austria",2013,"SME_LENDING_FLOW","New business lending, SMEs","EUR","Euro","Millions",NA,8884
"AUT","Austria",2014,"SME_LENDING_FLOW","New business lending, SMEs","EUR","Euro","Millions",NA,8237
"AUT","Austria",2015,"SME_LENDING_FLOW","New business lending, SMEs","EUR","Euro","Millions",NA,8116
"AUT","Austria",2016,"SME_LENDING_FLOW","New business lending, SMEs","EUR","Euro","Millions",NA,7499
"AUT","Austria",2017,"SME_LENDING_FLOW","New business lending, SMEs","EUR","Euro","Millions",NA,8304
"AUT","Austria",2018,"SME_LENDING_FLOW","New business lending, SMEs","EUR","Euro","Millions",NA,8182
"AUT","Austria",2019,"SME_LENDING_FLOW","New business lending, SMEs","EUR","Euro","Millions",NA,8634
"AUT","Austria",2009,"NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","PC","Percentage","Units",NA,11.76
"AUT","Austria",2010,"NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","PC","Percentage","Units",NA,12.57
"AUT","Austria",2011,"NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","PC","Percentage","Units",NA,12.97
"AUT","Austria",2012,"NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","PC","Percentage","Units",NA,11.56
"AUT","Austria",2013,"NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","PC","Percentage","Units",NA,12.09
"AUT","Austria",2014,"NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","PC","Percentage","Units",NA,11.26
"AUT","Austria",2015,"NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","PC","Percentage","Units",NA,13.15
"AUT","Austria",2016,"NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","PC","Percentage","Units",NA,13.5
"AUT","Austria",2017,"NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","PC","Percentage","Units",NA,12.89
"AUT","Austria",2018,"NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","PC","Percentage","Units",NA,12.7
"AUT","Austria",2019,"NEW_LENDING_PROPORTION","Share of new SME lending (% of total new lending)","PC","Percentage","Units",NA,12.11
"AUT","Austria",2007,"LOAN_GUARANTEES","Government loan guarantees, SMEs","EUR","Euro","Millions",NA,341
"AUT","Austria",2008,"LOAN_GUARANTEES","Government loan guarantees, SMEs","EUR","Euro","Millions",NA,164
"AUT","Austria",2009,"LOAN_GUARANTEES","Government loan guarantees, SMEs","EUR","Euro","Millions",NA,214
"AUT","Austria",2010,"LOAN_GUARANTEES","Government loan guarantees, SMEs","EUR","Euro","Millions",NA,173
"AUT","Austria",2011,"LOAN_GUARANTEES","Government loan guarantees, SMEs","EUR","Euro","Millions",NA,143
"AUT","Austria",2012,"LOAN_GUARANTEES","Government loan guarantees, SMEs","EUR","Euro","Millions",NA,158
"AUT","Austria",2013,"LOAN_GUARANTEES","Government loan guarantees, SMEs","EUR","Euro","Millions",NA,167
"AUT","Austria",2014,"LOAN_GUARANTEES","Government loan guarantees, SMEs","EUR","Euro","Millions",NA,172
"AUT","Austria",2015,"LOAN_GUARANTEES","Government loan guarantees, SMEs","EUR","Euro","Millions",NA,204
"AUT","Austria",2016,"LOAN_GUARANTEES","Government loan guarantees, SMEs","EUR","Euro","Millions",NA,192
"AUT","Austria",2017,"LOAN_GUARANTEES","Government loan guarantees, SMEs","EUR","Euro","Millions",NA,279.23
"AUT","Austria",2018,"LOAN_GUARANTEES","Government loan guarantees, SMEs","EUR","Euro","Millions",NA,300.76
"AUT","Austria",2019,"LOAN_GUARANTEES","Government loan guarantees, SMEs","EUR","Euro","Millions",NA,365.98
"AUT","Austria",2007,"GUARANTEED_LOANS","Government guaranteed loans, SMEs","EUR","Euro","Millions",NA,429
"AUT","Austria",2008,"GUARANTEED_LOANS","Government guaranteed loans, SMEs","EUR","Euro","Millions",NA,211
"AUT","Austria",2009,"GUARANTEED_LOANS","Government guaranteed loans, SMEs","EUR","Euro","Millions",NA,279
"AUT","Austria",2010,"GUARANTEED_LOANS","Government guaranteed loans, SMEs","EUR","Euro","Millions",NA,226
"AUT","Austria",2011,"GUARANTEED_LOANS","Government guaranteed loans, SMEs","EUR","Euro","Millions",NA,185
"AUT","Austria",2012,"GUARANTEED_LOANS","Government guaranteed loans, SMEs","EUR","Euro","Millions",NA,207
"AUT","Austria",2013,"GUARANTEED_LOANS","Government guaranteed loans, SMEs","EUR","Euro","Millions",NA,211
"AUT","Austria",2014,"GUARANTEED_LOANS","Government guaranteed loans, SMEs","EUR","Euro","Millions",NA,225
"AUT","Austria",2015,"GUARANTEED_LOANS","Government guaranteed loans, SMEs","EUR","Euro","Millions",NA,258
"AUT","Austria",2016,"GUARANTEED_LOANS","Government guaranteed loans, SMEs","EUR","Euro","Millions",NA,282
"AUT","Austria",2017,"GUARANTEED_LOANS","Government guaranteed loans, SMEs","EUR","Euro","Millions",NA,413.77
"AUT","Austria",2018,"GUARANTEED_LOANS","Government guaranteed loans, SMEs","EUR","Euro","Millions",NA,395.34
"AUT","Austria",2019,"GUARANTEED_LOANS","Government guaranteed loans, SMEs","EUR","Euro","Millions",NA,548.79
"AUT","Austria",2007,"DIRECT_LOANS","Direct government loans, SMEs",NA,NA,"Millions",NA,535
"AUT","Austria",2008,"DIRECT_LOANS","Direct government loans, SMEs",NA,NA,"Millions",NA,579
