"","Country","Subject","MEASURE","Frequency","TIME","Period","Unit","Value"
"37","France","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",43220.6
"38","France","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",43264
"39","France","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",43091
"40","France","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",40542.8
"41","France","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",35163.9
"42","France","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",41652.2
"43","France","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",40991.3
"44","France","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",40918.3
"45","Denmark","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",52218.2
"46","Denmark","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",52415.6
"47","Denmark","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",52756.2
"48","Denmark","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",52944.1
"49","Denmark","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",53104.4
"50","Denmark","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",53116.2
"51","Denmark","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",52714.8
"52","Denmark","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",49344.7
"53","Denmark","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",52311.8
"54","Denmark","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",52725.1
"55","Denmark","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",52141.9
"56","Germany","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",49808.1
"57","Germany","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",49939.6
"58","Germany","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",50218.1
"59","Germany","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",49946.5
"60","Germany","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",50082.9
"61","Germany","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",50050.1
"62","Germany","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",49029.6
"63","Germany","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",44292.4
"64","Germany","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",48138.8
"65","Germany","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",48394.3
"66","Germany","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",47530.7
"67","Spain","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",37796.7
"68","Spain","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",37920.3
"69","Spain","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",38040.8
"70","Spain","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",38116.7
"71","Spain","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",38137.4
"72","Spain","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",38219.4
"73","Spain","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",36128
"74","Spain","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",29698.4
"75","Spain","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",34722.6
"76","Spain","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",34722.4
"77","Spain","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",34591.7
"78","Belgium","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",47751.7
"79","Belgium","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",48111.7
"80","Belgium","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",48134.4
"81","Belgium","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",48213.9
"82","Belgium","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",48392.4
"83","Belgium","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",48604.5
"84","Belgium","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",46924.8
"85","Belgium","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",41321.7
"86","Belgium","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",46140.2
"87","Belgium","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",46085.4
"88","Belgium","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",46562.3
"89","Canada","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",50660.1
"90","Canada","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",50550.5
"91","Canada","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",50337
"92","Canada","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",50853.4
"93","Canada","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",50898.1
"94","Canada","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",50865.5
"95","Canada","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",49951.5
"96","Canada","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",44052.6
"97","Canada","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",48554.9
"98","Canada","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",49924.4
"99","Canada","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",51160.8
"100","Switzerland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",71881.2
"101","Switzerland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",72165.5
"102","Switzerland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",72331.4
"103","Switzerland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",72973.1
"104","Switzerland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",73477.9
"105","Switzerland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",73851.7
"106","Switzerland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",72770.2
"107","Switzerland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",67200.4
"108","Switzerland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",72591
"109","Switzerland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",72882.9
"110","Switzerland","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",73306.2
"111","Austria","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",57286.9
"112","Austria","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",57982
"113","Austria","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",58482
"114","Austria","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",58583.6
"115","Austria","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",58848.9
"116","Austria","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",58639.7
"117","Austria","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",57292.8
"118","Austria","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",50857.5
"119","Austria","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",57208.3
"120","Austria","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",55606.7
"121","Austria","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",55560.7
"122","Canada","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",46066.5
"123","Canada","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",45965.6
"124","Canada","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",45913.7
"125","Canada","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",46289.3
"126","Canada","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",46280.6
"127","Canada","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",46068.6
"128","Canada","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",45014.1
"129","Canada","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",39851.7
"130","Canada","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",43447.6
"131","Canada","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",44417.2
"132","Canada","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",44983.1
"133","Czech Republic","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",41466.4
"134","Czech Republic","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",41916
"135","Czech Republic","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",42478.7
"136","Czech Republic","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",43119.5
"137","Czech Republic","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",43604.2
"138","Czech Republic","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",44178.2
"139","Czech Republic","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",43199.5
"140","Czech Republic","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",39393
"141","Czech Republic","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",42531
"142","Czech Republic","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",43123.6
"143","Czech Republic","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",43428.8
"144","Switzerland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",68586.7
"145","Switzerland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",68596.5
"146","Switzerland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",68590.9
"147","Switzerland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",68724.2
"148","Switzerland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",68970
"149","Switzerland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",69110.8
"150","Switzerland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",67847
"151","Switzerland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",63103.6
"152","Switzerland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",67489.8
"153","Switzerland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",67454.1
"154","Switzerland","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",67037.6
"155","Chile","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",24616.2
"156","Chile","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",25080.1
"157","Chile","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",25372.2
"158","Chile","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",26000
"159","Chile","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",26345.2
"160","Chile","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",25414.6
"161","Chile","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",25801.4
"162","Chile","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",22809.3
"163","Chile","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",24100.7
"164","Chile","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",25672
"165","Chile","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",26816
"166","Austria","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",52236.2
"167","Austria","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",52604.5
"168","Austria","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",52975.9
"169","Austria","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",52767.1
"170","Austria","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",52855.7
"171","Austria","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",52487.4
"172","Austria","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",51074.3
"173","Austria","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",45605.2
"174","Austria","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",50823.3
"175","Austria","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",49174.4
"176","Austria","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",48617.1
"177","Belgium","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",52876.3
"178","Belgium","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",53625.9
"179","Belgium","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",53902.5
"180","Belgium","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",54458.7
"181","Belgium","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",54955.6
"182","Belgium","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",55516.8
"183","Belgium","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",53940.6
"184","Belgium","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",47332.4
"185","Belgium","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",53373.5
"186","Belgium","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",53572.3
"187","Belgium","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",54701.5
"188","Czech Republic","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",37581.8
"189","Czech Republic","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",37797.9
"190","Czech Republic","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",38109.5
"191","Czech Republic","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",38376.6
"192","Czech Republic","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",38536.5
"193","Czech Republic","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",38731.8
"194","Czech Republic","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",37408.1
"195","Czech Republic","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",34065.6
"196","Czech Republic","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",36338.7
"197","Czech Republic","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",36603.2
"198","Czech Republic","Gross domestic product - expenditure approach","HVPVOBARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",36479.7
"199","Denmark","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",57713.4
"200","Denmark","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",58217.6
"201","Denmark","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",58816.5
"202","Denmark","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",59573.9
"203","Denmark","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",60236.1
"204","Denmark","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",60865.2
"205","Denmark","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",61134.4
"206","Denmark","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",57250.9
"207","Denmark","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",61506.8
"208","Denmark","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",62430.1
"209","Denmark","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",62426.9
"210","Germany","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",55130.1
"211","Germany","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",55470.4
"212","Germany","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",55812.9
"213","Germany","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q2","Q2-2019","US Dollar",55790.1
"214","Germany","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q3","Q3-2019","US Dollar",56086.5
"215","Germany","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q4","Q4-2019","US Dollar",56240.6
"216","Germany","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q1","Q1-2020","US Dollar",55344.5
"217","Germany","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q2","Q2-2020","US Dollar",49718.5
"218","Germany","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q3","Q3-2020","US Dollar",54604.1
"219","Germany","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2020-Q4","Q4-2020","US Dollar",55144.4
"220","Germany","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2021-Q1","Q1-2021","US Dollar",54697
"221","Spain","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q3","Q3-2018","US Dollar",40921
"222","Spain","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2018-Q4","Q4-2018","US Dollar",41254.4
"223","Spain","Gross domestic product - expenditure approach","HCPCARSA","Quarterly","2019-Q1","Q1-2019","US Dollar",41610.5
